가해운전자 차종별 ,사고년도,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021,2021
가해운전자 차종별 ,사고년도,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월,합계,01월,02월,03월,04월,05월,06월,07월,08월,09월,10월,11월,12월
합계,사고건수,"216,335","16,970","14,832","17,047","17,717","18,502","18,047","18,158","18,682","19,891","18,863","19,377","18,249","217,148","17,026","16,208","17,022","17,992","18,636","18,082","18,699","18,335","18,371","19,738","19,029","18,010","229,600","16,552","14,752","18,133","19,104","20,779","18,968","19,234","19,992","19,331","21,690","21,517","19,548","209,654","16,968","16,285","14,949","16,186","18,184","19,017","18,302","17,616","18,124","19,255","18,438","16,330","203,130","14,909","14,511","16,600","17,403","17,378","17,575","17,994","16,418","17,012","18,300","18,096","16,934"
합계,사망자수,"4,185",353,280,295,293,366,315,357,353,419,420,379,355,"3,781",304,275,310,303,309,266,315,357,348,373,298,323,"3,349",296,203,252,286,305,279,241,253,287,337,297,313,"3,081",277,222,239,213,254,254,240,295,301,309,261,216,"2,916",197,203,209,212,255,227,254,247,246,312,285,269
합계,부상자수,"322,829","26,099","22,323","25,046","26,530","27,268","26,454","27,362","28,162","29,371","28,698","28,472","27,044","323,037","25,438","24,630","25,015","26,643","27,834","26,574","28,104","27,749","27,751","28,836","28,000","26,463","341,712","24,269","22,612","26,908","28,438","31,077","28,315","28,353","30,358","28,746","32,050","31,623","28,963","306,194","25,442","23,558","21,823","23,781","26,791","27,880","26,969","26,264","25,839","28,190","26,698","22,959","291,608","21,323","21,160","23,928","25,142","25,125","25,290","25,870","23,782","24,252","26,307","25,706","23,723"
승용차,사고건수,"143,041","12,032","10,415","11,402","11,707","11,804","11,472","11,873","12,278","12,546","12,219","12,638","12,655","145,238","11,886","11,305","11,450","11,942","12,449","11,746","12,425","12,160","12,151","12,839","12,558","12,327","151,365","11,270","10,185","12,163","12,597","13,388","12,252","12,486","12,892","12,628","14,037","14,260","13,207","136,878","11,547","11,002","9,804","10,455","11,729","12,343","12,044","11,540","11,520","12,295","11,978","10,621","132,440","10,031","9,774","10,937","11,160","11,303","11,159","11,476","10,411","11,004","11,859","12,032","11,294"
승용차,사망자수,"2,048",207,152,139,147,147,136,162,154,209,198,195,202,"1,837",185,153,157,140,144,119,137,174,155,168,138,167,"1,571",157,116,115,131,145,117,97,119,126,160,144,144,"1,410",135,107,118,111,90,112,124,147,127,136,121,82,"1,348",104,93,98,97,113,95,103,117,104,149,134,141
승용차,부상자수,"220,358","18,965","16,032","17,268","18,061","18,147","17,423","18,627","19,129","19,050","19,164","19,254","19,238","222,226","18,128","17,608","17,288","18,200","19,143","17,814","19,333","19,078","18,947","19,197","18,935","18,555","232,408","17,063","16,149","18,608","19,252","20,775","18,922","19,176","20,172","19,404","21,366","21,422","20,099","206,840","17,779","16,422","14,774","15,958","17,947","18,745","18,209","17,835","17,115","18,838","17,804","15,414","195,686","14,704","14,572","16,279","16,599","16,847","16,535","17,097","15,675","16,185","17,556","17,436","16,201"
승합차,사고건수,"13,426","1,051",917,"1,078","1,107","1,139","1,138","1,086","1,064","1,285","1,208","1,214","1,139","13,526","1,077",989,"1,118","1,149","1,116","1,012","1,107","1,086","1,112","1,330","1,256","1,174","14,221","1,008",859,"1,168","1,189","1,285","1,150","1,164","1,259","1,210","1,400","1,302","1,227","10,463","1,035",951,684,776,926,930,945,823,831,905,939,718,"9,923",732,687,872,826,865,868,835,743,830,853,927,885
승합차,사망자수,286,32,19,14,10,28,21,29,22,33,28,33,17,247,21,19,23,22,20,8,16,17,27,18,27,29,209,15,12,11,21,17,18,21,11,22,19,19,23,165,14,15,13,12,20,14,10,12,14,10,17,14,146,10,16,9,8,13,3,15,12,9,17,16,18
