"특성별(1)",특성별(2),2021,2021,2021,2021,2021
"특성별(1)",특성별(2),사고 위험이 높아서,이용법을 몰라서,전용도로 등 기반시설이 없어서,위생때문에 타인과 킥보드 공유가 꺼려져서,기타
"전체",소계,66.7,22.6,4.9,2.7,3.1
"성별",남자,66.7,20.8,6.5,3.2,2.8
"성별",여자,66.7,24.3,3.5,2.2,3.3
"연령별",13~19세,81.5,10.3,4.0,3.3,0.9
"연령별",20~29세,78.4,9.2,4.7,4.7,2.8
"연령별",30~39세,76.9,12.1,6.2,3.8,1.1
"연령별",40~49세,76.7,12.7,6.6,3.1,0.9
"연령별",50~59세,66.8,23.8,5.7,2.3,1.5
"연령별",60~64세,58.1,33.7,4.7,0.8,2.7
"연령별",65세이상,42.5,45.0,2.1,1.2,9.2
"학력별",안받았음,43.6,46.3,0.0,0.0,10.1
"학력별",초등학교,34.3,53.8,2.1,0.7,9.2
"학력별",중등학교,60.0,31.9,1.6,1.4,5.1
"학력별",고등학교,69.3,22.3,5.3,1.7,1.4
"학력별",대학(4년제미만),77.6,12.2,5.0,2.9,2.2
"학력별",대학교(4년제이상),73.7,12.9,6.3,5.1,2.0
"학력별",대학원석사과정,71.5,14.0,9.4,3.7,1.5
"학력별",대학원박사과정,68.7,13.2,13.3,0.0,4.8
"가구주와의 관계별",본인,64.6,24.5,5.1,2.0,3.7
"가구주와의 관계별",배우자,66.3,24.9,3.9,2.6,2.2
"가구주와의 관계별",가구원,73.8,13.1,5.8,4.6,2.6
"혼인상태별",미혼,75.9,11.6,6.3,4.2,2.0
"혼인상태별",유배우,66.8,23.2,5.0,2.6,2.4
"혼인상태별",사별,41.0,45.6,0.4,0.6,12.4
"혼인상태별",이혼/별거,62.5,30.7,4.3,0.0,2.5
"직업별",관리자,77.8,6.4,9.0,6.8,0.0
"직업별",전문가및관련종사자,74.2,14.3,5.9,2.7,3.0
"직업별",사무직,80.4,7.6,6.1,5.5,0.4
"직업별",서비스직,67.0,24.7,4.5,0.9,3.0
"직업별",판매종사자,72.9,15.4,6.1,3.7,1.9
"직업별",농·림·수산자,37.3,50.5,8.7,2.1,1.4
"직업별",기능원및기능종사자,76.6,17.0,2.9,1.9,1.6
"직업별",장치ㆍ기계조작및조립종사자,72.4,17.1,4.8,5.2,0.5
"직업별",단순노무자,61.6,25.5,7.5,1.3,4.1
"직업별",군인,100.0,0.0,0.0,0.0,0.0
"직업별",학생,78.9,9.7,4.9,5.8,0.7
"직업별",주부,59.0,32.9,2.8,1.3,4.0
"직업별",무직,59.2,27.9,4.2,1.5,7.2
"종사상의 지위별",임금근로자(상용),75.1,14.3,6.5,3.0,1.1
"종사상의 지위별",임금근로자(임시),67.3,20.8,0.9,3.0,7.9
"종사상의 지위별",임금근로자(일용),57.3,30.5,6.7,1.4,4.0
"종사상의 지위별",고용원이있는자영업자,71.4,12.5,7.6,5.6,3.0
"종사상의 지위별",고용원이없는자영업자,57.6,33.1,4.2,3.6,1.5
"종사상의 지위별",무급가족종사자,49.5,39.0,9.6,0.0,1.9
